dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 34}",1100,v1,1,800,15,0.0,False,5.075305255429287e-17,0.9999999999999999,-0.45340968787737856,-0.836207427378199,15.0,13.0,,False,0.9999711386568448,-0.014063915075666067,15.294116258350037,True,0.3003999098152766,True,0.8144474386712769,True,0.39424497090262345,0.007142857142857143,5.480849610303476e-07,0.001,0.95,0,1.5274160653060938,True,0.4062889796770643,0.6057550290973766,0.11871300020983895,,,,,1.0,0.7202822629974924,0.5068485124720891,0.9739146448578583,0.5090958320182055,-0.4670661323857692
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 42}",1101,v1,1,800,17,0.0,False,3.489272363107635e-17,1.0,-0.27507733448972077,-1.0421798215383724,17.0,14.0,,False,0.9999701287842105,-0.009300651746393718,16.053174606133446,True,0.3892626010042298,True,0.30514061007441823,True,0.3627114583289817,0.007142857142857143,2.839351202708344e-07,0.001,0.9406798910240448,0,1.5749183219475993,True,0.39690193379259553,0.6372885416710183,0.09659463216029719,,,,,1.0,0.928938317487652,0.9525856843179674,1.1884774312999917,1.0905003957699235,-0.2358917469820243
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 28}",1102,v1,1,800,14,0.0,False,1.6494742080145183e-16,1.0,-0.45071602675655176,-0.7067849694284081,14.0,15.0,,False,0.999935868132155,-0.004560711488557967,9.909066373371477,True,0.32840383661600586,True,0.7026067339884126,True,0.3246465359208516,0.010714285714285714,4.913693207748122e-07,0.001,0.95,0,1.4936242870570775,True,0.37670236038311883,0.6753534640791484,0.06800620086729574,,,,,1.0,0.9689415785066252,0.9693313211925382,1.1831633091348992,0.3126003495382329,-0.21383198794236102
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 29}",1103,v1,1,800,12,0.0,False,1.6177535501680852e-16,1.0,-0.5751492422910354,-0.648005039785021,12.0,10.0,,False,0.9999654501661994,-0.008084104153505689,15.588100651471867,True,0.4179547174703378,True,0.7430728187927903,True,0.38977831872926444,0.012499999999999999,4.000921534211732e-07,0.001,0.9443527164032832,0,1.4005876889229159,True,0.4222377331312733,0.6102216812707355,0.09010357366556727,,,,,1.0,0.612108704619008,0.660968500021904,0.9554502128784724,0.5268207956982267,-0.29448171285656843
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 33}",1104,v1,1,800,16,0.0,False,-1.9666807864788486e-16,0.9999999999999999,-0.4627264266238298,-0.666599518373526,16.0,15.0,,False,0.9999644179782738,-0.008695343512348797,17.52735069182592,True,0.36801684637186305,True,0.5952003733098681,True,0.4253454603620461,0.010714285714285714,2.099889137831382e-07,0.001,0.95,0,1.5503695076350956,True,0.42978639960226034,0.5746545396379539,0.093439421734485,,,,,1.0,0.7344219289803868,0.5990510789900714,0.8634077452142136,0.4142175549516266,-0.2643566662241422
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 38}",1105,v1,1,800,15,0.0,False,-2.0301221021717148e-16,1.0,-0.37717661387234874,-0.8846773483774628,15.0,16.0,,False,0.9999487589131568,-0.014356319152122543,14.683931760344755,True,0.3794048927835418,True,0.44414782278928555,True,0.38453967659212324,0.008928571428571428,3.1500425478833825e-07,0.001,0.95,0,1.5005516538085395,True,0.4032554819729734,0.6154603234078768,0.12003149686213925,,,,,1.0,0.6240939119523218,0.9880442017005138,0.7277887980575584,0.7094728955178795,0.2602554036429554
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 17}",1106,v1,1,800,9,0.0,False,4.440892098500626e-16,0.9999999999999999,-0.452348120515816,-0.7737944940366419,9.0,12.0,,False,0.9999546886100767,-0.016469708606089872,14.64609773331504,True,0.3770002752923004,True,0.4769056976469821,True,0.36071812491183575,0.019642857142857142,4.0739162096559167e-07,0.001,0.95,0,1.1947646844291975,True,0.4311382907434186,0.6392818750881643,0.12851077774262035,,,,,1.0,0.4191266132337144,0.49778277209729127,0.9631076160209632,0.18814619964030846,-0.4653248439236719
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 19}",1107,v1,1,800,10,0.0,False,-2.878649699563799e-16,1.0,-0.5814149686707685,-0.42015376993310394,10.0,10.0,,False,0.9999640920605564,-0.005558796398684063,25.214188376269124,True,0.223367267395225,True,0.6560837102455035,True,0.3950254807207778,0.017857142857142856,4.277250732887645e-07,0.001,0.95,0,1.28921988062193,True,0.4123703529978243,0.6049745192792222,0.07479775623725449,,,,,1.0,0.42460174894834074,0.15789883428934548,0.887484307745455,0.15906329579763537,-0.7295854734561095
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 20}",1108,v1,1,800,10,0.0,False,9.833403932394243e-17,1.0,-0.5577259308974898,-0.5341670774401468,10.0,13.0,,False,0.9999459276428383,-0.010594548946307514,15.117597582328447,True,0.3666714296289333,True,0.824213170502001,True,0.43319723224076373,0.017857142857142856,5.145877858125616e-07,0.001,0.95,0,1.2914685511949326,True,0.4197856881683451,0.5668027677592362,0.10319215718003562,,,,,1.0,0.4209583537815453,0.36828409853123195,0.7915091746656867,0.213747923458862,-0.42322507613445476
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 31}",1109,v1,1,800,14,0.0,False,-1.45915026093592e-16,0.9999999999999999,-0.2793556420476189,-1.0273734233688658,14.0,13.0,,False,0.9999675101327048,-0.005901939626262953,18.066409326104317,True,0.30325683329906317,True,0.15854311835560944,True,0.32735778418881795,0.008928571428571428,4.225436910228526e-07,0.001,0.95,0,1.514177969142991,True,0.3743709887008775,0.672642215811182,0.07703524838382875,,,,,1.0,0.8100706242236754,0.5191671072568239,1.3862493485293619,0.6315112010664296,-0.867082241272538
